Holder,Shares,Date Reported,% Out,Value,Ticker,Fetch_Date
Capital International Investors,17.53M,"Sep 30, 2024",7.57%,5901726635,MSTR,2025-02-05
Vanguard Group Inc,17.45M,"Sep 30, 2024",7.53%,5876342148,MSTR,2025-02-05
Morgan Stanley,9.6M,"Sep 30, 2024",4.14%,3230639310,MSTR,2025-02-05
Blackrock Inc.,9.48M,"Sep 30, 2024",4.09%,3191102648,MSTR,2025-02-05
State Street Corporation,3.32M,"Sep 30, 2024",1.43%,1118729898,MSTR,2025-02-05
"Geode Capital Management, LLC",2.77M,"Sep 30, 2024",1.19%,931407519,MSTR,2025-02-05
"Susquehanna International Group, LLP",2.75M,"Sep 30, 2024",1.19%,927493718,MSTR,2025-02-05
Norges Bank Investment Management,1.58M,"Jun 30, 2024",0.68%,531615649,MSTR,2025-02-05
Clear Street Derivatives LLC,1.31M,"Sep 30, 2024",0.56%,440112033,MSTR,2025-02-05
"Jane Street Group, LLC",1.06M,"Sep 30, 2024",0.46%,355282822,MSTR,2025-02-05
Vanguard Group Inc,178.4M,"Sep 30, 2024",8.47%,11503371746,UBER,2025-02-05
Blackrock Inc.,147.28M,"Sep 30, 2024",6.99%,9496902604,UBER,2025-02-05
"FMR, LLC",97.86M,"Sep 30, 2024",4.65%,6309762817,UBER,2025-02-05
Morgan Stanley,92.16M,"Sep 30, 2024",4.38%,5942794222,UBER,2025-02-05
State Street Corporation,82.35M,"Sep 30, 2024",3.91%,5309843291,UBER,2025-02-05
Public Investment Fund,72.84M,"Sep 30, 2024",3.46%,4696758328,UBER,2025-02-05
Capital Research Global Investors,66.01M,"Sep 30, 2024",3.13%,4256080319,UBER,2025-02-05
JP Morgan Chase & Company,61.66M,"Sep 30, 2024",2.93%,3976158891,UBER,2025-02-05
"Wellington Management Group, LLP",43.9M,"Sep 30, 2024",2.08%,2830839472,UBER,2025-02-05
"Geode Capital Management, LLC",42.5M,"Sep 30, 2024",2.02%,2740423290,UBER,2025-02-05
Vanguard Group Inc,7.42M,"Sep 30, 2024",8.14%,482399328,UPST,2025-02-05
Blackrock Inc.,5.79M,"Sep 30, 2024",6.34%,376019330,UPST,2025-02-05
"Shaw D.E. & Co., Inc.",2.31M,"Sep 30, 2024",2.54%,150380427,UPST,2025-02-05
State Street Corporation,2.27M,"Sep 30, 2024",2.48%,147203815,UPST,2025-02-05
"Susquehanna International Group, LLP",1.91M,"Sep 30, 2024",2.10%,124212460,UPST,2025-02-05
"Geode Capital Management, LLC",1.82M,"Sep 30, 2024",1.99%,118053980,UPST,2025-02-05
Goldman Sachs Group Inc,1.71M,"Sep 30, 2024",1.87%,110896953,UPST,2025-02-05
"Two Sigma Investments, LP",1.6M,"Sep 30, 2024",1.76%,104059237,UPST,2025-02-05
Morgan Stanley,1.43M,"Sep 30, 2024",1.57%,92801126,UPST,2025-02-05
"Voloridge Investment Management, LLC",1.34M,"Sep 30, 2024",1.47%,87249300,UPST,2025-02-05
Vanguard Group Inc,18.29M,"Sep 30, 2024",8.93%,5032392034,COIN,2025-02-05
Blackrock Inc.,11.33M,"Sep 30, 2024",5.53%,3116543137,COIN,2025-02-05
"FMR, LLC",6.75M,"Sep 30, 2024",3.29%,1856250818,COIN,2025-02-05
Paradigm Operations LP,4.52M,"Sep 30, 2024",2.20%,1242421149,COIN,2025-02-05
State Street Corporation,4.3M,"Sep 30, 2024",2.10%,1183320524,COIN,2025-02-05
"Geode Capital Management, LLC",3.43M,"Sep 30, 2024",1.67%,942524861,COIN,2025-02-05
"Jane Street Group, LLC",3.1M,"Sep 30, 2024",1.51%,851819178,COIN,2025-02-05
"ARK Investment Management, LLC",3.03M,"Dec 31, 2024",1.48%,834952269,COIN,2025-02-05
"Sumitomo Mitsui Trust Holdings, Inc.",2.85M,"Dec 31, 2024",1.39%,785362134,COIN,2025-02-05
"Nikko Asset Management Americas, Inc.",2.79M,"Sep 30, 2024",1.36%,767425756,COIN,2025-02-05
General Motors Holdings LLC,30M,"Sep 30, 2024",13.73%,93013909,LAC,2025-02-05
Van Eck Associates Corporation,3.68M,"Dec 31, 2024",1.69%,11416707,LAC,2025-02-05
Mirae Asset Global ETFs Holdings Ltd.,3.01M,"Sep 30, 2024",1.38%,9344732,LAC,2025-02-05
Marshall Wace LLP,2.09M,"Sep 30, 2024",0.96%,6486969,LAC,2025-02-05
Invesco Ltd.,2.01M,"Sep 30, 2024",0.92%,6217555,LAC,2025-02-05
Legal & General Group PLC,1.99M,"Sep 30, 2024",0.91%,6166891,LAC,2025-02-05
Adage Capital Partners GP L.L.C.,1.5M,"Sep 30, 2024",0.69%,4649999,LAC,2025-02-05
CenterBook Partners LP,1.49M,"Sep 30, 2024",0.68%,4619799,LAC,2025-02-05
"Point72 Asset Management, L.P.",1.45M,"Sep 30, 2024",0.66%,4495619,LAC,2025-02-05
Millennium Management Llc,1.21M,"Sep 30, 2024",0.55%,3752357,LAC,2025-02-05
Vanguard Group Inc,307.03M,"Sep 30, 2024",9.22%,24577744031,WFC,2025-02-05
Blackrock Inc.,259.64M,"Sep 30, 2024",7.80%,20784139805,WFC,2025-02-05
"FMR, LLC",195.94M,"Sep 30, 2024",5.89%,15685146250,WFC,2025-02-05
State Street Corporation,141.88M,"Sep 30, 2024",4.26%,11357625955,WFC,2025-02-05
JP Morgan Chase & Company,128.21M,"Sep 30, 2024",3.85%,10263025175,WFC,2025-02-05
"Wellington Management Group, LLP",91.25M,"Sep 30, 2024",2.74%,7304554133,WFC,2025-02-05
Dodge & Cox Inc,86.95M,"Sep 30, 2024",2.61%,6960316545,WFC,2025-02-05
"Geode Capital Management, LLC",71.18M,"Sep 30, 2024",2.14%,5697985393,WFC,2025-02-05
Capital International Investors,48.94M,"Sep 30, 2024",1.47%,3917541083,WFC,2025-02-05
Norges Bank Investment Management,45.04M,"Jun 30, 2024",1.35%,3605258976,WFC,2025-02-05
"Berkshire Hathaway, Inc",797.68M,"Sep 30, 2024",10.40%,37578861079,BAC,2025-02-05
Vanguard Group Inc,660.02M,"Sep 30, 2024",8.60%,31093331691,BAC,2025-02-05
Blackrock Inc.,503.84M,"Sep 30, 2024",6.57%,23735824787,BAC,2025-02-05
State Street Corporation,288.72M,"Sep 30, 2024",3.76%,13601540253,BAC,2025-02-05
"FMR, LLC",190.59M,"Sep 30, 2024",2.48%,8978698314,BAC,2025-02-05
JP Morgan Chase & Company,149.4M,"Sep 30, 2024",1.95%,7038415370,BAC,2025-02-05
"Geode Capital Management, LLC",140.26M,"Sep 30, 2024",1.83%,6607458832,BAC,2025-02-05
Norges Bank Investment Management,122.92M,"Jun 30, 2024",1.60%,5790525866,BAC,2025-02-05
Morgan Stanley,119.05M,"Sep 30, 2024",1.55%,5608465924,BAC,2025-02-05
Price (T.Rowe) Associates Inc,110.75M,"Sep 30, 2024",1.44%,5217242761,BAC,2025-02-05
"MMCAP International, Inc. SPC",13.35M,"Dec 31, 2024",2.95%,18827370,BITF,2025-02-05
Van Eck Associates Corporation,12.55M,"Dec 31, 2024",2.77%,17700757,BITF,2025-02-05
Invesco Ltd.,12.22M,"Sep 30, 2024",2.70%,17224384,BITF,2025-02-05
"Tidal Investments, LLC",6.23M,"Sep 30, 2024",1.37%,8778029,BITF,2025-02-05
State Street Corporation,4.92M,"Sep 30, 2024",1.09%,6933997,BITF,2025-02-05
"Susquehanna International Group, LLP",4.06M,"Sep 30, 2024",0.90%,5721104,BITF,2025-02-05
Mirae Asset Global ETFs Holdings Ltd.,3.45M,"Sep 30, 2024",0.76%,4866382,BITF,2025-02-05
Citadel Advisors Llc,3.33M,"Sep 30, 2024",0.74%,4700539,BITF,2025-02-05
Morgan Stanley,3.29M,"Sep 30, 2024",0.73%,4638290,BITF,2025-02-05
"Vident Advisory, LLC",3.23M,"Sep 30, 2024",0.71%,4553418,BITF,2025-02-05
Vanguard Group Inc,272.15M,"Sep 30, 2024",9.67%,73597630678,JPM,2025-02-05
Blackrock Inc.,202.42M,"Sep 30, 2024",7.19%,54741452418,JPM,2025-02-05
State Street Corporation,126.08M,"Sep 30, 2024",4.48%,34095640942,JPM,2025-02-05
Morgan Stanley,69.22M,"Sep 30, 2024",2.46%,18718322514,JPM,2025-02-05
"Geode Capital Management, LLC",58.34M,"Sep 30, 2024",2.07%,15778017792,JPM,2025-02-05
Bank of America Corporation,50.05M,"Sep 30, 2024",1.78%,13535004907,JPM,2025-02-05
"FMR, LLC",48.33M,"Sep 30, 2024",1.72%,13069688729,JPM,2025-02-05
Norges Bank Investment Management,37.06M,"Jun 30, 2024",1.32%,10020871268,JPM,2025-02-05
Capital World Investors,34.36M,"Sep 30, 2024",1.22%,9293238808,JPM,2025-02-05
Capital International Investors,33.77M,"Sep 30, 2024",1.20%,9132940889,JPM,2025-02-05
Point72 Asia (Hong Kong) Ltd,1.81M,"Sep 30, 2024",4.83%,82024061,YY,2025-02-05
Acadian Asset Management. LLC,1.75M,"Sep 30, 2024",4.66%,79053511,YY,2025-02-05
Krane Funds Advisors LLC,1.34M,"Sep 30, 2024",3.57%,60627397,YY,2025-02-05
Vanguard Group Inc,1.12M,"Sep 30, 2024",2.98%,50506175,YY,2025-02-05
Stonehill Capital Management LLC,1.1M,"Sep 30, 2024",2.94%,49981747,YY,2025-02-05
Mangrove Partners,1.03M,"Sep 30, 2024",2.74%,46462601,YY,2025-02-05
Blackrock Inc.,903.56k,"Sep 30, 2024",2.41%,40895169,YY,2025-02-05
Oaktree Capital Management LP,882.59k,"Sep 30, 2024",2.35%,39946021,YY,2025-02-05
Yunqi Capital Ltd,845.7k,"Sep 30, 2024",2.26%,38276471,YY,2025-02-05
"Arrowstreet Capital, Limited Partnership",811.59k,"Sep 30, 2024",2.16%,36732516,YY,2025-02-05
Vanguard Group Inc,167.6M,"Sep 30, 2024",8.86%,13317747575,C,2025-02-05
Blackrock Inc.,163.31M,"Sep 30, 2024",8.63%,12976434301,C,2025-02-05
State Street Corporation,81.71M,"Sep 30, 2024",4.32%,6492823128,C,2025-02-05
"Berkshire Hathaway, Inc",55.24M,"Sep 30, 2024",2.92%,4389751519,C,2025-02-05
"Geode Capital Management, LLC",39.92M,"Sep 30, 2024",2.11%,3172027112,C,2025-02-05
Price (T.Rowe) Associates Inc,37.75M,"Sep 30, 2024",2.00%,2999351714,C,2025-02-05
"Franklin Resources, Inc.",30.03M,"Sep 30, 2024",1.59%,2385962317,C,2025-02-05
"Fisher Asset Management, LLC",28.97M,"Sep 30, 2024",1.53%,2301984540,C,2025-02-05
"FMR, LLC",26.5M,"Sep 30, 2024",1.40%,2105567448,C,2025-02-05
Morgan Stanley,25.74M,"Sep 30, 2024",1.36%,2045054527,C,2025-02-05
Baillie Gifford and Company,40.95M,"Dec 31, 2024",7.74%,5040685965,SE,2025-02-05
"WCM Investment Management, LLC",25.66M,"Dec 31, 2024",4.85%,3158684181,SE,2025-02-05
Blackrock Inc.,16.65M,"Sep 30, 2024",3.15%,2049853860,SE,2025-02-05
"Tiger Global Management, LLC",16.04M,"Sep 30, 2024",3.03%,1974367541,SE,2025-02-05
Norges Bank Investment Management,15.86M,"Jun 30, 2024",3.00%,1952050675,SE,2025-02-05
"FMR, LLC",14.38M,"Sep 30, 2024",2.72%,1770126863,SE,2025-02-05
Price (T.Rowe) Associates Inc,9.15M,"Sep 30, 2024",1.73%,1126623381,SE,2025-02-05
"Sands Capital Management, LLC",8.34M,"Sep 30, 2024",1.58%,1026592817,SE,2025-02-05
JP Morgan Chase & Company,7.98M,"Sep 30, 2024",1.51%,982511346,SE,2025-02-05
"Arrowstreet Capital, Limited Partnership",7.15M,"Sep 30, 2024",1.35%,879687727,SE,2025-02-05
Vanguard Group Inc,137.76M,"Sep 30, 2024",8.83%,6526966606,USB,2025-02-05
Blackrock Inc.,113.32M,"Sep 30, 2024",7.26%,5369101341,USB,2025-02-05
State Street Corporation,67.28M,"Sep 30, 2024",4.31%,3187867190,USB,2025-02-05
"FMR, LLC",63.91M,"Sep 30, 2024",4.10%,3028242119,USB,2025-02-05
"Charles Schwab Investment Management, Inc.",47.33M,"Sep 30, 2024",3.03%,2242442384,USB,2025-02-05
MUFG Bank Ltd,44.37M,"Sep 30, 2024",2.84%,2102447511,USB,2025-02-05
JP Morgan Chase & Company,39.82M,"Sep 30, 2024",2.55%,1886722765,USB,2025-02-05
"Viking Global Investors, L.P.",33.62M,"Sep 30, 2024",2.15%,1592783445,USB,2025-02-05
"Geode Capital Management, LLC",33.09M,"Sep 30, 2024",2.12%,1567643001,USB,2025-02-05
"Aristotle Capital Management, LLC",23.18M,"Sep 30, 2024",1.49%,1098415729,USB,2025-02-05
Vanguard Group Inc,36.18M,"Sep 30, 2024",13.56%,3900751087,UAL,2025-02-05
Primecap Management Company,23.57M,"Sep 30, 2024",8.84%,2541425428,UAL,2025-02-05
Capital International Investors,20M,"Sep 30, 2024",7.50%,2156831273,UAL,2025-02-05
Blackrock Inc.,18.44M,"Sep 30, 2024",6.92%,1988702588,UAL,2025-02-05
State Street Corporation,10.32M,"Sep 30, 2024",3.87%,1112729675,UAL,2025-02-05
"Sanders Capital, LLC",9.46M,"Sep 30, 2024",3.55%,1019717027,UAL,2025-02-05
"Geode Capital Management, LLC",8.31M,"Sep 30, 2024",3.12%,896115737,UAL,2025-02-05
Capital World Investors,8M,"Sep 30, 2024",3.00%,862209690,UAL,2025-02-05
Invesco Ltd.,6.39M,"Sep 30, 2024",2.40%,689293150,UAL,2025-02-05
Dimensional Fund Advisors LP,5.49M,"Sep 30, 2024",2.06%,592190458,UAL,2025-02-05
Blackrock Inc.,24.46M,"Sep 30, 2024",10.86%,927495701,X,2025-02-05
Vanguard Group Inc,20.37M,"Sep 30, 2024",9.05%,772496267,X,2025-02-05
Pentwater Capital Management Lp,19.9M,"Sep 30, 2024",8.84%,754607963,X,2025-02-05
State Street Corporation,8.95M,"Sep 30, 2024",3.97%,339406356,X,2025-02-05
Dimensional Fund Advisors LP,8.36M,"Sep 30, 2024",3.71%,317092485,X,2025-02-05
"Donald Smith & Co., Inc.",4.72M,"Sep 30, 2024",2.10%,178976513,X,2025-02-05
Massachusetts Financial Services Co.,4.6M,"Sep 30, 2024",2.04%,174387663,X,2025-02-05
KGH Ltd,4.37M,"Sep 30, 2024",1.94%,165806670,X,2025-02-05
"Geode Capital Management, LLC",3.84M,"Sep 30, 2024",1.70%,145600810,X,2025-02-05
"Laurion Capital Management, LP",3.63M,"Sep 30, 2024",1.61%,137603217,X,2025-02-05
Vanguard Group Inc,12.7M,"Sep 30, 2024",11.86%,2062328204,FSLR,2025-02-05
Blackrock Inc.,11.12M,"Sep 30, 2024",10.39%,1806231428,FSLR,2025-02-05
State Street Corporation,4.96M,"Sep 30, 2024",4.63%,804808476,FSLR,2025-02-05
"FMR, LLC",3.99M,"Sep 30, 2024",3.72%,647491110,FSLR,2025-02-05
"Geode Capital Management, LLC",2.6M,"Sep 30, 2024",2.43%,422568399,FSLR,2025-02-05
Capital Research Global Investors,2.39M,"Sep 30, 2024",2.23%,387922214,FSLR,2025-02-05
"Wellington Management Group, LLP",2.1M,"Sep 30, 2024",1.96%,340548982,FSLR,2025-02-05
Voya Investment Management LLC,1.91M,"Sep 30, 2024",1.78%,309766554,FSLR,2025-02-05
BNP Paribas Asset Management Holding S.A.,1.74M,"Sep 30, 2024",1.63%,283142908,FSLR,2025-02-05
JP Morgan Chase & Company,1.73M,"Sep 30, 2024",1.62%,281392397,FSLR,2025-02-05
Vanguard Group Inc,51.8M,"Sep 30, 2024",8.38%,9419494013,BA,2025-02-05
Blackrock Inc.,34.87M,"Sep 30, 2024",5.64%,6340390082,BA,2025-02-05
"Newport Trust Company, LLC",30.61M,"Sep 30, 2024",4.95%,5565631138,BA,2025-02-05
State Street Corporation,27.78M,"Sep 30, 2024",4.49%,5051186877,BA,2025-02-05
Capital Research Global Investors,25.81M,"Sep 30, 2024",4.18%,4693388862,BA,2025-02-05
"FMR, LLC",22.02M,"Sep 30, 2024",3.56%,4003937425,BA,2025-02-05
Capital World Investors,15.52M,"Sep 30, 2024",2.51%,2822975023,BA,2025-02-05
"Loomis Sayles & Company, LP",14.57M,"Sep 30, 2024",2.36%,2650052096,BA,2025-02-05
"Geode Capital Management, LLC",11.72M,"Sep 30, 2024",1.90%,2131127298,BA,2025-02-05
Jennison Associates LLC,10.3M,"Dec 31, 2024",1.67%,1873181989,BA,2025-02-05
"FMR, LLC",130.08M,"Sep 30, 2024",15.03%,15149205656,MRVL,2025-02-05
Vanguard Group Inc,74.68M,"Sep 30, 2024",8.63%,8697606218,MRVL,2025-02-05
Blackrock Inc.,61.02M,"Sep 30, 2024",7.05%,7106358165,MRVL,2025-02-05
"T. Rowe Price Investment Management, Inc.",27.29M,"Sep 30, 2024",3.15%,3178337901,MRVL,2025-02-05
Brown Advisory Inc.,21.39M,"Sep 30, 2024",2.47%,2491097315,MRVL,2025-02-05
State Street Corporation,19.94M,"Sep 30, 2024",2.30%,2322638043,MRVL,2025-02-05
Goldman Sachs Group Inc,18.26M,"Sep 30, 2024",2.11%,2126343666,MRVL,2025-02-05
JP Morgan Chase & Company,18.16M,"Sep 30, 2024",2.10%,2114488970,MRVL,2025-02-05
Bank of America Corporation,13.81M,"Sep 30, 2024",1.60%,1607998844,MRVL,2025-02-05
Invesco Ltd.,12.42M,"Sep 30, 2024",1.44%,1446465098,MRVL,2025-02-05
Vanguard Group Inc,29.39M,"Sep 30, 2024",9.47%,18971120976,GS,2025-02-05
Blackrock Inc.,23.72M,"Sep 30, 2024",7.64%,15312773561,GS,2025-02-05
State Street Corporation,19.4M,"Sep 30, 2024",6.25%,12521136422,GS,2025-02-05
Morgan Stanley,7.52M,"Sep 30, 2024",2.42%,4854712894,GS,2025-02-05
Capital World Investors,6.5M,"Sep 30, 2024",2.09%,4195241126,GS,2025-02-05
"Geode Capital Management, LLC",6.42M,"Sep 30, 2024",2.07%,4145533084,GS,2025-02-05
JP Morgan Chase & Company,6.06M,"Sep 30, 2024",1.95%,3914176045,GS,2025-02-05
"Fisher Asset Management, LLC",6.04M,"Sep 30, 2024",1.95%,3900222061,GS,2025-02-05
Dodge & Cox Inc,5.38M,"Sep 30, 2024",1.73%,3472580447,GS,2025-02-05
Bank of America Corporation,4.07M,"Sep 30, 2024",1.31%,2628533856,GS,2025-02-05
Baillie Gifford and Company,4.3M,"Dec 31, 2024",8.47%,8486257419,MELI,2025-02-05
Capital Research Global Investors,2.24M,"Sep 30, 2024",4.41%,4416540510,MELI,2025-02-05
Morgan Stanley,1.86M,"Sep 30, 2024",3.66%,3665545642,MELI,2025-02-05
JP Morgan Chase & Company,1.69M,"Sep 30, 2024",3.33%,3338134207,MELI,2025-02-05
Capital World Investors,1.26M,"Sep 30, 2024",2.48%,2488006530,MELI,2025-02-05
Capital International Investors,1.22M,"Sep 30, 2024",2.40%,2402393897,MELI,2025-02-05
Blackrock Inc.,1.19M,"Sep 30, 2024",2.35%,2349863721,MELI,2025-02-05
Jennison Associates LLC,1.14M,"Dec 31, 2024",2.24%,2242601031,MELI,2025-02-05
Price (T.Rowe) Associates Inc,988.83k,"Sep 30, 2024",1.95%,1953127069,MELI,2025-02-05
"FMR, LLC",879k,"Sep 30, 2024",1.73%,1736184057,MELI,2025-02-05
"Berkshire Hathaway, Inc",151.61M,"Sep 30, 2024",21.52%,48595777485,AXP,2025-02-05
Vanguard Group Inc,45.15M,"Sep 30, 2024",6.41%,14470449878,AXP,2025-02-05
Blackrock Inc.,42.53M,"Sep 30, 2024",6.04%,13631380550,AXP,2025-02-05
State Street Corporation,29.28M,"Sep 30, 2024",4.16%,9384875723,AXP,2025-02-05
"Wellington Management Group, LLP",16.07M,"Sep 30, 2024",2.28%,5152190225,AXP,2025-02-05
JP Morgan Chase & Company,15.64M,"Sep 30, 2024",2.22%,5013639851,AXP,2025-02-05
Morgan Stanley,13.5M,"Sep 30, 2024",1.92%,4327221653,AXP,2025-02-05
"Geode Capital Management, LLC",11.48M,"Sep 30, 2024",1.63%,3680810087,AXP,2025-02-05
"FMR, LLC",11M,"Sep 30, 2024",1.56%,3527020755,AXP,2025-02-05
Price (T.Rowe) Associates Inc,9.4M,"Sep 30, 2024",1.33%,3011865903,AXP,2025-02-05
Vanguard Group Inc,148.77M,"Sep 30, 2024",9.17%,16663562915,AMD,2025-02-05
Blackrock Inc.,129.52M,"Sep 30, 2024",7.98%,14507068282,AMD,2025-02-05
State Street Corporation,70.17M,"Sep 30, 2024",4.32%,7859772204,AMD,2025-02-05
Price (T.Rowe) Associates Inc,35.31M,"Sep 30, 2024",2.18%,3954869317,AMD,2025-02-05
"Geode Capital Management, LLC",34.24M,"Sep 30, 2024",2.11%,3835652927,AMD,2025-02-05
Morgan Stanley,30.4M,"Sep 30, 2024",1.87%,3404669914,AMD,2025-02-05
"FMR, LLC",26.7M,"Sep 30, 2024",1.65%,2991216242,AMD,2025-02-05
"Fisher Asset Management, LLC",23.8M,"Sep 30, 2024",1.47%,2665304435,AMD,2025-02-05
Norges Bank Investment Management,22.46M,"Jun 30, 2024",1.38%,2515798188,AMD,2025-02-05
JP Morgan Chase & Company,21.94M,"Sep 30, 2024",1.35%,2457516808,AMD,2025-02-05
Vanguard Group Inc,110.32M,"Sep 30, 2024",9.71%,12383619468,SBUX,2025-02-05
Blackrock Inc.,77.36M,"Sep 30, 2024",6.81%,8683222674,SBUX,2025-02-05
State Street Corporation,45.97M,"Sep 30, 2024",4.05%,5160627185,SBUX,2025-02-05
Capital World Investors,45.75M,"Sep 30, 2024",4.03%,5135386763,SBUX,2025-02-05
Morgan Stanley,26M,"Sep 30, 2024",2.29%,2918281561,SBUX,2025-02-05
"Geode Capital Management, LLC",24.28M,"Sep 30, 2024",2.14%,2725178111,SBUX,2025-02-05
Bank of America Corporation,20.63M,"Sep 30, 2024",1.82%,2315808983,SBUX,2025-02-05
Wells Fargo & Company,20.27M,"Sep 30, 2024",1.78%,2275286621,SBUX,2025-02-05
"FMR, LLC",19.78M,"Sep 30, 2024",1.74%,2220289172,SBUX,2025-02-05
JP Morgan Chase & Company,18.69M,"Sep 30, 2024",1.65%,2098325731,SBUX,2025-02-05
Baillie Gifford and Company,8.78M,"Dec 31, 2024",8.68%,35196000,JMIA,2025-02-05
"Shaw D.E. & Co., Inc.",5.64M,"Sep 30, 2024",5.57%,22597442,JMIA,2025-02-05
BNP Paribas Financial Markets,2.41M,"Sep 30, 2024",2.39%,9678432,JMIA,2025-02-05
Citadel Advisors Llc,1.57M,"Sep 30, 2024",1.56%,6312738,JMIA,2025-02-05
RWC Asset Management LLP,1.47M,"Dec 31, 2024",1.46%,5907500,JMIA,2025-02-05
Millennium Management Llc,1.21M,"Sep 30, 2024",1.20%,4849044,JMIA,2025-02-05
Goldman Sachs Group Inc,1.14M,"Sep 30, 2024",1.13%,4588138,JMIA,2025-02-05
Capital Fund Management S.A.,823.19k,"Sep 30, 2024",0.81%,3300984,JMIA,2025-02-05
JP Morgan Chase & Company,730.19k,"Sep 30, 2024",0.72%,2928062,JMIA,2025-02-05
State Street Corporation,709.75k,"Sep 30, 2024",0.70%,2846105,JMIA,2025-02-05
Vanguard Group Inc,45.04M,"Sep 30, 2024",9.83%,6090347621,TGT,2025-02-05
State Street Corporation,35.48M,"Sep 30, 2024",7.74%,4797825951,TGT,2025-02-05
Blackrock Inc.,33.49M,"Sep 30, 2024",7.31%,4527969222,TGT,2025-02-05
Capital World Investors,20.62M,"Sep 30, 2024",4.50%,2788573477,TGT,2025-02-05
"Franklin Resources, Inc.",10.22M,"Sep 30, 2024",2.23%,1381868713,TGT,2025-02-05
"FMR, LLC",9.98M,"Sep 30, 2024",2.18%,1349447382,TGT,2025-02-05
"Geode Capital Management, LLC",9.41M,"Sep 30, 2024",2.05%,1272870383,TGT,2025-02-05
Wells Fargo & Company,9.19M,"Sep 30, 2024",2.01%,1243143111,TGT,2025-02-05
Massachusetts Financial Services Co.,9.18M,"Sep 30, 2024",2.00%,1240941216,TGT,2025-02-05
Morgan Stanley,7.66M,"Sep 30, 2024",1.67%,1035967443,TGT,2025-02-05
Vanguard Group Inc,86.72M,"Sep 30, 2024",8.65%,6868561681,PYPL,2025-02-05
Blackrock Inc.,73.7M,"Sep 30, 2024",7.35%,5836643933,PYPL,2025-02-05
State Street Corporation,43.62M,"Sep 30, 2024",4.35%,3454672978,PYPL,2025-02-05
"Comprehensive Financial Management, LLC",28.16M,"Sep 30, 2024",2.81%,2230598059,PYPL,2025-02-05
"Geode Capital Management, LLC",21.46M,"Sep 30, 2024",2.14%,1699992928,PYPL,2025-02-05
"FMR, LLC",16.76M,"Sep 30, 2024",1.67%,1327556684,PYPL,2025-02-05
Morgan Stanley,15.16M,"Sep 30, 2024",1.51%,1200468013,PYPL,2025-02-05
Amundi,12.11M,"Sep 30, 2024",1.21%,959117348,PYPL,2025-02-05
Bank of America Corporation,11.51M,"Sep 30, 2024",1.15%,911263284,PYPL,2025-02-05
Norges Bank Investment Management,10.74M,"Jun 30, 2024",1.07%,850559813,PYPL,2025-02-05
Fairfax Financial Holdings Ltd,46.72M,"Sep 30, 2024",7.90%,237361472,BB,2025-02-05
Primecap Management Company,28.3M,"Sep 30, 2024",4.78%,143744749,BB,2025-02-05
Legal & General Group PLC,27.67M,"Sep 30, 2024",4.68%,140551060,BB,2025-02-05
Fifthdelta Ltd,23.57M,"Sep 30, 2024",3.98%,119754043,BB,2025-02-05
Vanguard Group Inc,22.5M,"Sep 30, 2024",3.80%,114306409,BB,2025-02-05
Mirae Asset Global ETFs Holdings Ltd.,13.79M,"Sep 30, 2024",2.33%,70051923,BB,2025-02-05
Edgepoint Investment Group Inc.,11.92M,"Sep 30, 2024",2.02%,60567797,BB,2025-02-05
First Trust Advisors LP,11.2M,"Sep 30, 2024",1.89%,56881104,BB,2025-02-05
Connor Clark & Lunn Investment Management Ltd,9.63M,"Sep 30, 2024",1.63%,48921577,BB,2025-02-05
"Jane Street Group, LLC",5.63M,"Sep 30, 2024",0.95%,28610752,BB,2025-02-05
Vanguard Group Inc,36.87M,"Sep 30, 2024",8.52%,4778442426,ABNB,2025-02-05
Blackrock Inc.,28.61M,"Sep 30, 2024",6.61%,3707432901,ABNB,2025-02-05
"FMR, LLC",20.79M,"Sep 30, 2024",4.80%,2694370648,ABNB,2025-02-05
State Street Corporation,17.61M,"Sep 30, 2024",4.07%,2282864061,ABNB,2025-02-05
Morgan Stanley,17.2M,"Sep 30, 2024",3.97%,2228736618,ABNB,2025-02-05
Capital World Investors,14M,"Sep 30, 2024",3.24%,1815019443,ABNB,2025-02-05
Edgewood Management Llc,13.58M,"Sep 30, 2024",3.14%,1760283399,ABNB,2025-02-05
Jennison Associates LLC,10.03M,"Dec 31, 2024",2.32%,1299363440,ABNB,2025-02-05
"Geode Capital Management, LLC",9.4M,"Sep 30, 2024",2.17%,1218184070,ABNB,2025-02-05
"Polen Capital Management, LLC",9.18M,"Sep 30, 2024",2.12%,1190062942,ABNB,2025-02-05
Vanguard Group Inc,52.38M,"Sep 30, 2024",9.74%,16123787324,AMGN,2025-02-05
Blackrock Inc.,46.25M,"Sep 30, 2024",8.60%,14234972220,AMGN,2025-02-05
State Street Corporation,29.32M,"Sep 30, 2024",5.45%,9024071239,AMGN,2025-02-05
Morgan Stanley,14.69M,"Sep 30, 2024",2.73%,4523028437,AMGN,2025-02-05
Primecap Management Company,14.26M,"Sep 30, 2024",2.65%,4388121164,AMGN,2025-02-05
"Geode Capital Management, LLC",12.12M,"Sep 30, 2024",2.26%,3731546433,AMGN,2025-02-05
"Charles Schwab Investment Management, Inc.",10.53M,"Sep 30, 2024",1.96%,3242048506,AMGN,2025-02-05
Capital International Investors,8.72M,"Sep 30, 2024",1.62%,2683044927,AMGN,2025-02-05
